pclass,survived,name,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,home.dest
3,0,"Shorney, Mr. Charles Joseph",0,,0,0,374910,8.05,,S,,,
3,0,"Simmons, Mr. John",0,,0,0,SOTON/OQ 392082,8.05,,S,,,
3,0,"Sirayanian, Mr. Orsen",0,22,0,0,2669,7.2292,,C,,,
3,0,"Sirota, Mr. Maurice",0,,0,0,392092,8.05,,S,,,
3,0,"Sivic, Mr. Husein",0,40,0,0,349251,7.8958,,S,,,
3,0,"Sivola, Mr. Antti Wilhelm",0,21,0,0,STON/O 2. 3101280,7.925,,S,,,
3,1,"Sjoblom, Miss. Anna Sofia",1,18,0,0,3101265,7.4958,,S,16,,
3,0,"Skoog, Master. Harald",0,4,3,2,347088,27.9,,S,,,
3,0,"Skoog, Master. Karl Thorsten",0,10,3,2,347088,27.9,,S,,,
3,0,"Skoog, Miss. Mabel",1,9,3,2,347088,27.9,,S,,,
3,0,"Skoog, Miss. Margit Elizabeth",1,2,3,2,347088,27.9,,S,,,
3,0,"Skoog, Mr. Wilhelm",0,40,1,4,347088,27.9,,S,,,
3,0,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",1,45,1,4,347088,27.9,,S,,,
3,0,"Slabenoff, Mr. Petco",0,,0,0,349214,7.8958,,S,,,
3,0,"Slocovski, Mr. Selman Francis",0,,0,0,SOTON/OQ 392086,8.05,,S,,,
3,0,"Smiljanic, Mr. Mile",0,,0,0,315037,8.6625,,S,,,
3,0,"Smith, Mr. Thomas",0,,0,0,384461,7.75,,Q,,,
3,1,"Smyth, Miss. Julia",1,,0,0,335432,7.7333,,Q,13,,
3,0,"Soholt, Mr. Peter Andreas Lauritz Andersen",0,19,0,0,348124,7.65,F G73,S,,,
3,0,"Somerton, Mr. Francis William",0,30,0,0,A.5. 18509,8.05,,S,,,
3,0,"Spector, Mr. Woolf",0,,0,0,A.5. 3236,8.05,,S,,,
3,0,"Spinner, Mr. Henry John",0,32,0,0,STON/OQ. 369943,8.05,,S,,,
3,0,"Staneff, Mr. Ivan",0,,0,0,349208,7.8958,,S,,,
3,0,"Stankovic, Mr. Ivan",0,33,0,0,349239,8.6625,,C,,,
3,1,"Stanley, Miss. Amy Zillah Elsie",1,23,0,0,CA. 2314,7.55,,S,C,,
3,0,"Stanley, Mr. Edward Roland",0,21,0,0,A/4 45380,8.05,,S,,,
3,0,"Storey, Mr. Thomas",0,60.5,0,0,3701,,,S,,261,
3,0,"Stoytcheff, Mr. Ilia",0,19,0,0,349205,7.8958,,S,,,
3,0,"Strandberg, Miss. Ida Sofia",1,22,0,0,7553,9.8375,,S,,,
3,1,"Stranden, Mr. Juho",0,31,0,0,STON/O 2. 3101288,7.925,,S,9,,
3,0,"Strilic, Mr. Ivan",0,27,0,0,315083,8.6625,,S,,,
3,0,"Strom, Miss. Telma Matilda",1,2,0,1,347054,10.4625,G6,S,,,
3,0,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",1,29,1,1,347054,10.4625,G6,S,,,
3,1,"Sunderland, Mr. Victor Francis",0,16,0,0,SOTON/OQ 392089,8.05,,S,B,,
3,1,"Sundman, Mr. Johan Julian",0,44,0,0,STON/O 2. 3101269,7.925,,S,15,,
3,0,"Sutehall, Mr. Henry Jr",0,25,0,0,SOTON/OQ 392076,7.05,,S,,,
3,0,"Svensson, Mr. Johan",0,74,0,0,347060,7.775,,S,,,
3,1,"Svensson, Mr. Johan Cervin",0,14,0,0,7538,9.225,,S,13,,
3,0,"Svensson, Mr. Olof",0,24,0,0,350035,7.7958,,S,,,
3,1,"Tenglin, Mr. Gunnar Isidor",0,25,0,0,350033,7.7958,,S,13 15,,
3,0,"Theobald, Mr. Thomas Leonard",0,34,0,0,363294,8.05,,S,,176,
3,1,"Thomas, Master. Assad Alexander",0,0.42,0,1,2625,8.5167,,C,16,,
3,0,"Thomas, Mr. Charles P",0,,1,0,2621,6.4375,,C,,,
3,0,"Thomas, Mr. John",0,,0,0,2681,6.4375,,C,,,
3,0,"Thomas, Mr. Tannous",0,,0,0,2684,7.225,,C,,,
3,1,"Thomas, Mrs. Alexander (Thamine ""Thelma"")",1,16,1,1,2625,8.5167,,C,14,,
3,0,"Thomson, Mr. Alexander Morrison",0,,0,0,32302,8.05,,S,,,
3,0,"Thorneycroft, Mr. Percival",0,,1,0,376564,16.1,,S,,,
3,1,"Thorneycroft, Mrs. Percival (Florence Kate White)",1,,1,0,376564,16.1,,S,10,,
3,0,"Tikkanen, Mr. Juho",0,32,0,0,STON/O 2. 3101293,7.925,,S,,,
3,0,"Tobin, Mr. Roger",0,,0,0,383121,7.75,F38,Q,,,
3,0,"Todoroff, Mr. Lalio",0,,0,0,349216,7.8958,,S,,,
3,0,"Tomlin, Mr. Ernest Portage",0,30.5,0,0,364499,8.05,,S,,50,
3,0,"Torber, Mr. Ernst William",0,44,0,0,364511,8.05,,S,,,
3,0,"Torfa, Mr. Assad",0,,0,0,2673,7.2292,,C,,,
3,1,"Tornquist, Mr. William Henry",0,25,0,0,LINE,0,,S,15,,
3,0,"Toufik, Mr. Nakli",0,,0,0,2641,7.2292,,C,,,
3,1,"Touma, Master. Georges Youssef",0,7,1,1,2650,15.2458,,C,C,,
3,1,"Touma, Miss. Maria Youssef",1,9,1,1,2650,15.2458,,C,C,,
3,1,"Touma, Mrs. Darwis (Hanne Youssef Razi)",1,29,0,2,2650,15.2458,,C,C,,
3,0,"Turcin, Mr. Stjepan",0,36,0,0,349247,7.8958,,S,,,
3,1,"Turja, Miss. Anna Sofia",1,18,0,0,4138,9.8417,,S,15,,
3,1,"Turkula, Mrs. (Hedwig)",1,63,0,0,4134,9.5875,,S,15,,
3,0,"van Billiard, Master. James William",0,,1,1,A/5. 851,14.5,,S,,,
3,0,"van Billiard, Master. Walter John",0,11.5,1,1,A/5. 851,14.5,,S,,1,
3,0,"van Billiard, Mr. Austin Blyler",0,40.5,0,2,A/5. 851,14.5,,S,,255,
3,0,"Van Impe, Miss. Catharina",1,10,0,2,345773,24.15,,S,,,
3,0,"Van Impe, Mr. Jean Baptiste",0,36,1,1,345773,24.15,,S,,,
3,0,"Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert)",1,30,1,1,345773,24.15,,S,,,
3,0,"van Melkebeke, Mr. Philemon",0,,0,0,345777,9.5,,S,,,
3,0,"Vande Velde, Mr. Johannes Joseph",0,33,0,0,345780,9.5,,S,,,
3,0,"Vande Walle, Mr. Nestor Cyriel",0,28,0,0,345770,9.5,,S,,,
3,0,"Vanden Steen, Mr. Leo Peter",0,28,0,0,345783,9.5,,S,,,
3,0,"Vander Cruyssen, Mr. Victor",0,47,0,0,345765,9,,S,,,
3,0,"Vander Planke, Miss. Augusta Maria",1,18,2,0,345764,18,,S,,,
3,0,"Vander Planke, Mr. Julius",0,31,3,0,345763,18,,S,,,
3,0,"Vander Planke, Mr. Leo Edmondus",0,16,2,0,345764,18,,S,,,
3,0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",1,31,1,0,345763,18,,S,,,
3,1,"Vartanian, Mr. David",0,22,0,0,2658,7.225,,C,13 15,,
3,0,"Vendel, Mr. Olof Edvin",0,20,0,0,350416,7.8542,,S,,,
3,0,"Vestrom, Miss. Hulda Amanda Adolfina",1,14,0,0,350406,7.8542,,S,,,
3,0,"Vovk, Mr. Janko",0,22,0,0,349252,7.8958,,S,,,
3,0,"Waelens, Mr. Achille",0,22,0,0,345767,9,,S,,,"Antwerp, Belgium / Stanton, OH"
3,0,"Ware, Mr. Frederick",0,,0,0,359309,8.05,,S,,,
3,0,"Warren, Mr. Charles William",0,,0,0,C.A. 49867,7.55,,S,,,
3,0,"Webber, Mr. James",0,,0,0,SOTON/OQ 3101316,8.05,,S,,,
3,0,"Wenzel, Mr. Linhart",0,32.5,0,0,345775,9.5,,S,,298,
3,1,"Whabee, Mrs. George Joseph (Shawneene Abi-Saab)",1,38,0,0,2688,7.2292,,C,C,,
3,0,"Widegren, Mr. Carl/Charles Peter",0,51,0,0,347064,7.75,,S,,,
3,0,"Wiklund, Mr. Jakob Alfred",0,18,1,0,3101267,6.4958,,S,,314,
3,0,"Wiklund, Mr. Karl Johan",0,21,1,0,3101266,6.4958,,S,,,
3,1,"Wilkes, Mrs. James (Ellen Needs)",1,47,1,0,363272,7,,S,,,
3,0,"Willer, Mr. Aaron (""Abi Weller"")",0,,0,0,3410,8.7125,,S,,,
3,0,"Willey, Mr. Edward",0,,0,0,S.O./P.P. 751,7.55,,S,,,
3,0,"Williams, Mr. Howard Hugh ""Harry""",0,,0,0,A/5 2466,8.05,,S,,,
3,0,"Williams, Mr. Leslie",0,28.5,0,0,54636,16.1,,S,,14,
3,0,"Windelov, Mr. Einar",0,21,0,0,SOTON/OQ 3101317,7.25,,S,,,
3,0,"Wirz, Mr. Albert",0,27,0,0,315154,8.6625,,S,,131,
3,0,"Wiseman, Mr. Phillippe",0,,0,0,A/4. 34244,7.25,,S,,,
3,0,"Wittevrongel, Mr. Camille",0,36,0,0,345771,9.5,,S,,,
3,0,"Yasbeck, Mr. Antoni",0,27,1,0,2659,14.4542,,C,C,,
3,1,"Yasbeck, Mrs. Antoni (Selini Alexander)",1,15,1,0,2659,14.4542,,C,,,
3,0,"Youseff, Mr. Gerious",0,45.5,0,0,2628,7.225,,C,,312,
3,0,"Yousif, Mr. Wazli",0,,0,0,2647,7.225,,C,,,
3,0,"Yousseff, Mr. Gerious",0,,0,0,2627,14.4583,,C,,,
3,0,"Zabour, Miss. Hileni",1,14.5,1,0,2665,14.4542,,C,,328,
3,0,"Zabour, Miss. Thamine",1,,1,0,2665,14.4542,,C,,,
3,0,"Zakarian, Mr. Mapriededer",0,26.5,0,0,2656,7.225,,C,,304,
3,0,"Zakarian, Mr. Ortin",0,27,0,0,2670,7.225,,C,,,
3,0,"Zimmerman, Mr. Leo",0,29,0,0,315082,7.875,,S,,,
